datetime,hashrate,difficulty
2019-03-25 12:00:00,1540253,3233948982
2019-03-26 12:00:00,1558608,3389897131
2019-03-27 12:00:00,1671890,3423072094
2019-03-28 12:00:00,1599998,3219983651
2019-03-29 12:00:00,1595455,3247796374
2019-03-30 12:00:00,1601322,2544038975
2019-03-31 12:00:00,1798512,2716120502
2019-04-01 12:00:00,1911084,3305901090
2019-04-02 12:00:00,1897265,3551031502
2019-04-03 12:00:00,1890825,3741908759
2019-04-04 12:00:00,1876913,3734803361
2019-04-05 12:00:00,1787896,3457539640
2019-04-06 12:00:00,1882601,3353875551
2019-04-07 12:00:00,1769464,3063636872
2019-04-08 12:00:00,1772396,3177045407
2019-04-09 12:00:00,1713652,3016526264
2019-04-10 12:00:00,1736327,3101019220
2019-04-11 12:00:00,1780692,3211967162
2019-04-12 12:00:00,1806191,3153117121
2019-04-13 12:00:00,1773662,3192000508
2019-04-14 12:00:00,1855801,3359623727
2019-04-15 12:00:00,1889784,3282458591
2019-04-16 12:00:00,1918837,3235534232
2019-04-17 12:00:00,1938160,3218703933
2019-04-18 12:00:00,1892758,3148682219
2019-04-19 12:00:00,1985297,3336514204
2019-04-20 12:00:00,1859245,3085317739
2019-04-21 12:00:00,1889017,3156801816
2019-04-22 12:00:00,1939555,3108425929
2019-04-23 12:00:00,1897923,3069342406
2019-04-24 12:00:00,1879034,3096785931
2019-04-25 12:00:00,1823369,2958129030
2019-04-26 12:00:00,1820116,2974755296
2019-04-27 12:00:00,1800813,3005433898
2019-04-28 12:00:00,1830406,3160539685
2019-04-29 12:00:00,1725502,3024531993
2019-04-30 12:00:00,1634470,2985767826
2019-05-01 12:00:00,1728943,3015289965
2019-05-02 12:00:00,1733163,2961754401
2019-05-03 12:00:00,1717529,2986778453
2019-05-04 12:00:00,1682020,3025095498
2019-05-05 12:00:00,1645769,2807045407
2019-05-06 12:00:00,1714436,2940270361
2019-05-07 12:00:00,1603880,2848989841
2019-05-08 12:00:00,1581309,2907455717
2019-05-09 12:00:00,1601380,2897983481
2019-05-10 12:00:00,1555310,2731944463
2019-05-11 12:00:00,1447150,2535419212
2019-05-12 12:00:00,1440428,2673100381
2019-05-13 12:00:00,1375106,2651875546
2019-05-14 12:00:00,1338391,2565039906
2019-05-15 12:00:00,1222804,2531276293
2019-05-16 12:00:00,1041988,2256580373
2019-05-17 12:00:00,984832,1816426289
2019-05-18 12:00:00,1109514,2027726954
2019-05-19 12:00:00,1086321,2016244729
2019-05-20 12:00:00,1184706,2194674787
2019-05-21 12:00:00,1283715,2499449087
2019-05-22 12:00:00,1319999,2606535964
2019-05-23 12:00:00,1341846,2621485781
2019-05-24 12:00:00,1348987,2592853397
2019-05-25 12:00:00,1303847,2159849385
2019-05-26 12:00:00,1263323,1981926054
2019-05-27 12:00:00,1223089,1966759331
2019-05-28 12:00:00,1231245,2066936137
